gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,exchg,cik,costat,naicsh,sich,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,stko
001004,2020/05/31,2019,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,11,0000001750,A,423860,5080,2010,201010,20,20101010,423860,5080,110,925,0
001045,2020/12/31,2020,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,14,0000006201,A,481111,4512,2030,203020,20,20302010,481111,4512,605,600,0
001050,2020/12/31,2020,INDL,C,D,STD,CECE,125141101,CECO ENVIRONMENTAL CORP,USD,14,0000003197,A,333413,3564,2020,202010,20,20201050,333413,3564,345,925,0
001062,2020/11/30,2020,INDL,C,D,STD,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,0001230869,A,523999,6799,4020,402030,40,40203010,523999,6799,850,800,0
001062,2020/11/30,2020,FS,C,D,STD,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,0001230869,A,523999,6799,4020,402030,40,40203010,523999,6799,850,800,0
001075,2020/12/31,2020,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,11,0000764622,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,0
001076,2020/12/31,2020,INDL,C,D,STD,PRG,74319R101,PROG HOLDINGS INC,USD,11,0001808834,A,522220,6141,4020,402020,40,40202010,522220,6141,175,976,0
001078,2020/12/31,2020,INDL,C,D,STD,ABT,002824100,ABBOTT LABORATORIES,USD,11,0000001800,A,334510,3845,3510,351010,35,35101010,334510,3845,280,905,0
001084,2020/12/31,2020,INDL,C,D,STD,WDDD,98159J200,WORLDS INC,USD,19,0000001961,A,519130,7370,5020,502030,50,50203010,519130,7370,185,940,3
001096,2020/12/31,2020,INDL,C,D,STD,MRCBF,617577101,MORGUARD CORP,CAD,19,,A,,,6010,601020,60,60102020,531,6500,850,800,0
001097,2020/12/31,2020,INDL,C,D,STD,ACMTA,004616207,ACMAT CORP  -CL A,USD,19,0000002062,A,524126,6351,4030,403010,40,40301040,524126,6351,240,925,3
001104,2020/12/31,2020,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,0000002098,A,332215,3420,2020,202010,20,20201060,332215,3420,270,976,0
001117,2020/12/31,2020,INDL,C,D,STD,BKTI,05587G104,BK TECHNOLOGIES CORP,USD,12,0000002186,A,334220,3663,4520,452010,45,45201020,334220,3663,180,940,0
001119,2020/12/31,2020,INDL,C,D,STD,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,11,0000002230,A,,,,,,,525990,6726,850,800,
001121,2020/12/31,2020,INDL,C,D,STD,AE,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,0000002178,A,424720,5172,1010,101020,10,10102030,424720,5172,355,925,0
001161,2020/12/31,2020,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,14,0000002488,A,334413,3674,4530,453010,45,45301020,334413,3674,235,940,0
001166,2020/12/31,2020,INDL,C,D,STD,ASMIY,N07045102,ASM INTERNATIONAL NV,USD,19,0000351483,A,333242,3559,4530,453010,45,45301010,333242,3559,247,940,3
001186,2020/12/31,2020,INDL,C,D,STD,AEM,008474108,AGNICO EAGLE MINES LTD,USD,11,0000002809,A,212221,1040,1510,151040,15,15104030,212221,1040,265,970,0
001209,2020/09/30,2020,INDL,C,D,STD,APD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,11,0000002969,A,325120,2810,1510,151010,15,15101040,325120,2810,160,970,0
001210,2020/03/31,2019,INDL,C,D,STD,AIRT,009207101,AIR T INC,USD,14,0000353184,A,492110,4513,2030,203010,20,20301010,492110,4513,110,925,0
001224,2020/09/30,2020,INDL,C,D,STD,EGN1,010284008,ALABAMA GAS CORP,USD,0,0000003146,A,221210,4924,5510,551020,55,55102010,221210,4924,710,700,1
001225,2020/12/31,2020,INDL,C,D,STD,SO1,010392009,ALABAMA POWER CO,USD,0,0000003153,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,1
001230,2020/12/31,2020,INDL,C,D,STD,ALK,011659109,ALASKA AIR GROUP INC,USD,11,0000766421,A,481111,4512,2030,203020,20,20302010,481111,4512,605,600,0
001234,2020/12/31,2020,INDL,C,D,STD,ATRI,049904105,ATRION CORP,USD,14,0000701288,A,339112,3841,3510,351010,35,35101020,339112,3841,710,700,0
001254,2020/12/31,2020,INDL,C,D,STD,MATX,57686G105,MATSON INC,USD,11,0000003453,A,483113,4400,2030,203030,20,20303010,483113,4400,612,600,0
001257,2020/12/31,2020,INDL,C,D,STD,ALX,014752109,ALEXANDER'S INC,USD,11,0000003499,A,531120,6798,6010,601010,60,60101070,531120,6798,850,800,0
001257,2020/12/31,2020,FS,C,D,STD,ALX,014752109,ALEXANDER'S INC,USD,11,0000003499,A,531120,6798,6010,601010,60,60101070,531120,6798,850,800,0
001262,2020/12/31,2020,INDL,C,D,STD,AGMJF,015644107,ALGOMA CENTRAL CORP,CAD,19,,A,,,2030,203030,20,20303010,483113,4400,612,600,0
001266,2020/09/30,2020,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,14,0000003545,A,111310,100,3020,302020,30,30202010,111310,0100,112,970,0
001272,2020/06/30,2020,INDL,C,D,STD,PBAJ,71648P103,PETRO USA INC,USD,19,0000745543,A,447110,5500,2550,255040,25,25504050,447110,5500,305,976,3
001274,2020/12/31,2020,INDL,C,D,STD,Y,017175100,ALLEGHANY CORP,USD,11,0000775368,A,524126,6331,4030,403010,40,40301050,524126,6331,835,800,0
001274,2020/12/31,2020,FS,C,D,STD,Y,017175100,ALLEGHANY CORP,USD,11,0000775368,A,524126,6331,4030,403010,40,40301050,524126,6331,835,800,0
001300,2020/12/31,2020,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,14,0000773840,A,336413,9997,2010,201050,20,20105010,336413,9997,355,925,0
001327,2020/09/30,2020,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,14,0000004127,A,334413,3674,4530,453010,45,45301020,334413,3674,230,940,0
001352,2020/12/31,2020,INDL,C,D,STD,GYLD,04273H104,ARROW DOW JONES GLBL YLD ETF,USD,17,,A,,,,,,,525910,6722,,,
001380,2020/12/31,2020,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,11,0000004447,A,2111,1311,1010,101020,10,10102020,2111,1311,385,935,0
001388,2020/12/31,2020,INDL,C,D,STD,AMR1,023771009,AMERICAN AIRLINES INC,USD,0,0000004515,A,481111,4512,2030,203020,20,20302010,481111,4512,605,600,1
001393,2020/03/31,2019,INDL,C,D,STD,UHAL,023586100,AMERCO,USD,14,0000004457,A,532120,7510,2030,203040,20,20304020,532120,7510,175,976,0
001397,2020/12/31,2020,INDL,C,D,STD,ABLT,024591406,AMERICAN BILTRITE INC,USD,19,0000004611,A,322220,2670,1510,151010,15,15101050,322220,2670,325,978,3
001410,2020/10/31,2020,INDL,C,D,STD,ABM,000957100,ABM INDUSTRIES INC,USD,11,0000771497,A,561720,7340,2020,202010,20,20201050,561720,7340,459,978,0
001414,2020/12/31,2020,FS,C,D,STD,PRI,74164M108,PRIMERICA INC,USD,11,0001475922,A,524113,6311,4030,403010,40,40301020,524113,6311,447,976,0
001414,2020/12/31,2020,INDL,C,D,STD,PRI,74164M108,PRIMERICA INC,USD,11,0001475922,A,524113,6311,4030,403010,40,40301020,524113,6311,447,976,0
001417,2020/06/30,2020,INDL,C,D,STD,VBF,46132L107,INVESCO BOND FUND,USD,11,0000005094,A,,,,,,,525990,6726,850,800,
001439,2020/12/31,2020,INDL,C,D,STD,ECOL,91734M103,US ECOLOGY INC,USD,14,0001783400,A,562211,4955,2020,202010,20,20201050,562211,4955,405,925,0
001440,2020/12/31,2020,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,14,0000004904,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,0
001447,2020/12/31,2020,INDL,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,11,0000004962,A,522210,6141,4020,402020,40,40202010,522210,6141,850,800,0
001447,2020/12/31,2020,FS,C,D,STD,AXP,025816109,AMERICAN EXPRESS CO,USD,11,0000004962,A,522210,6141,4020,402020,40,40202010,522210,6141,850,800,0
001448,2020/12/31,2020,INDL,C,D,STD,AXP1,025818006,AMERICAN EXPRESS CREDIT CORP,USD,0,0000004969,A,522298,6153,4020,402020,40,40202010,522298,6153,850,800,1
001449,2020/12/31,2020,FS,C,D,STD,AFL,001055102,AFLAC INC,USD,11,0000004977,A,524114,6321,4030,403010,40,40301020,524114,6321,825,800,0
001449,2020/12/31,2020,INDL,C,D,STD,AFL,001055102,AFLAC INC,USD,11,0000004977,A,524114,6321,4030,403010,40,40301020,524114,6321,825,800,0
001487,2020/12/31,2020,FS,C,D,STD,AIG,026874784,AMERICAN INTERNATIONAL GROUP,USD,11,0000005272,A,524126,6331,4030,403010,40,40301030,524126,6331,830,800,0
001487,2020/12/31,2020,INDL,C,D,STD,AIG,026874784,AMERICAN INTERNATIONAL GROUP,USD,11,0000005272,A,524126,6331,4030,403010,40,40301030,524126,6331,830,800,0
001507,2020/12/31,2020,INDL,C,D,STD,HYEM,92189F353,VANECK VECTORS EMG MKT HIGH,USD,17,,A,,,,,,,525910,6722,,,
001526,2020/12/31,2020,FS,C,D,STD,ANAT,02772A109,AMERICAN NATIONAL GROUP INC,USD,14,0001801075,A,524113,6311,4030,403010,40,40301030,524113,6311,825,800,0
001526,2020/12/31,2020,INDL,C,D,STD,ANAT,02772A109,AMERICAN NATIONAL GROUP INC,USD,14,0001801075,A,524113,6311,4030,403010,40,40301030,524113,6311,825,800,0
001545,2020/12/31,2020,INDL,C,D,STD,ARL,029174109,AMERICAN REALTY INVESTORS,USD,11,0001102238,A,531120,6512,6010,601020,60,60102020,531120,6512,305,976,0
001545,2020/12/31,2020,FS,C,D,STD,ARL,029174109,AMERICAN REALTY INVESTORS,USD,11,0001102238,A,531120,6512,6010,601020,60,60102020,531120,6512,305,976,0
001559,2020/12/31,2020,INDL,C,D,STD,AMS,029595105,AMERICAN SHARED HSPTL SERV,USD,12,0000744825,A,621999,8090,3510,351020,35,35102015,621999,8090,300,905,0
001562,2020/04/30,2019,INDL,C,D,STD,AMSWA,029683109,AMERICAN SOFTWARE  -CL A,USD,14,0000713425,A,511210,7372,4510,451030,45,45103010,511210,7372,185,940,0
001585,2020/12/31,2020,INDL,C,D,STD,AVD,030371108,AMERICAN VANGUARD CORP,USD,11,0000005981,A,325320,2870,1510,151010,15,15101030,325320,2870,167,970,0
001598,2020/12/31,2020,INDL,C,D,STD,AME,031100100,AMETEK INC,USD,11,0001037868,A,334513,3823,2010,201040,20,20104010,334513,3823,355,925,0
001602,2020/12/31,2020,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,14,0000318154,A,325414,2836,3520,352010,35,35201010,325414,2836,147,905,0
001613,2020/12/31,2020,INDL,C,D,STD,AP,032037103,AMPCO-PITTSBURGH CORP,USD,11,0000006176,A,332111,3460,1510,151040,15,15104050,332111,3460,355,925,0
001618,2020/04/30,2019,INDL,C,D,STD,AXR,032159105,AMREP CORP,USD,11,0000006207,A,237210,6552,6010,601020,60,60102030,237210,6552,175,976,0
001618,2020/04/30,2019,FS,C,D,STD,AXR,032159105,AMREP CORP,USD,11,0000006207,A,237210,6552,6010,601020,60,60102030,237210,6552,175,976,0
001632,2020/10/31,2020,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,14,0000006281,A,334413,3674,4530,453010,45,45301020,334413,3674,235,940,0
001650,2020/12/31,2020,INDL,C,D,STD,ANDR,034393108,ANDREA ELECTRONICS CORP,USD,19,0000006494,A,334220,3663,4520,452030,45,45203020,334220,3663,180,940,3
001659,2020/12/31,2020,INDL,C,D,STD,ANDE,034164103,ANDERSONS INC,USD,14,0000821026,A,424510,5150,3010,301010,30,30101020,424510,5150,112,970,0
001661,2020/12/31,2020,INDL,C,D,STD,NBR,G6359F137,NABORS INDUSTRIES LTD,USD,11,0001163739,A,213111,1381,1010,101010,10,10101010,213111,1381,395,935,0
001678,2020/12/31,2020,INDL,C,D,STD,APA,03743Q108,APA CORP,USD,14,0001841666,A,2111,1311,1010,101020,10,10102020,2111,1311,380,935,0
001686,2020/02/29,2019,INDL,C,D,STD,APOG,037598109,APOGEE ENTERPRISES INC,USD,14,0000006845,A,332321,3442,2010,201020,20,20102010,332321,3442,155,976,0
001689,2020/12/31,2020,INDL,C,D,STD,AEP1,03799Y005,APPALACHIAN POWER,USD,0,0000006879,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,1
001690,2020/09/30,2020,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,14,0000320193,A,334220,3663,4520,452020,45,45202030,334220,3663,190,940,0
001704,2020/10/31,2020,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,14,0000006951,A,333242,3559,4530,453010,45,45301010,333242,3559,247,940,0
001706,2020/08/31,2020,INDL,C,D,STD,EPAC,292765104,ENERPAC TOOL GROUP CORP,USD,11,0000006955,A,333132,3533,2010,201060,20,20106020,333132,3533,130,976,0
001712,2020/12/31,2020,INDL,C,D,STD,TREC,894648104,TRECORA RESOURCES,USD,11,0000007039,A,324110,2911,1510,151010,15,15101010,324110,2911,390,935,0
001718,2020/06/30,2020,INDL,C,D,STD,AOXY,00754B301,ADVANCED OXYGEN TECHNOLOGY,USD,19,0000352991,A,531120,6512,6010,601020,60,60102020,531120,6512,175,976,3
001722,2020/12/31,2020,INDL,C,D,STD,ADM,039483102,ARCHER-DANIELS-MIDLAND CO,USD,11,0000007084,A,31122,2070,3020,302020,30,30202010,31122,2070,112,970,0
001742,2020/12/31,2020,INDL,C,D,STD,PNW1,040555005,ARIZONA PUBLIC SERVICE CO,USD,0,0000007286,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,1
001743,2020/12/31,2020,INDL,C,D,STD,ARCB,03937C105,ARCBEST CORP,USD,14,0000894405,A,484122,4213,2030,203040,20,20304020,484122,4213,615,600,0
001745,2020/12/31,2020,INDL,C,D,STD,ETR1,29364D001,ENTERGY ARKANSAS,USD,0,0000007323,A,2211,4911,5510,551010,55,55101010,2211,4911,705,700,1
001773,2020/12/31,2020,INDL,C,D,STD,ARW,042735100,ARROW ELECTRONICS INC,USD,11,0000007536,A,423690,5065,4520,452030,45,45203030,423690,5065,222,940,0
001783,2020/11/30,2020,INDL,C,D,STD,ARTW,043168103,ARTS WAY MFG INC,USD,14,0000007623,A,333111,3523,2010,201060,20,20106015,333111,3523,345,925,0
001790,2020/12/31,2020,INDL,C,D,STD,AB.,043420108,ASBESTOS CORP LTD,CAD,9,,A,,,1510,151040,15,15104020,523999,6799,850,800,0
001794,2020/09/30,2020,INDL,C,D,STD,ASH,044186104,ASHLAND GLOBAL HOLDINGS INC,USD,11,0001674862,A,3252,2820,1510,151010,15,15101050,3252,2820,382,935,0
001820,2020/01/31,2019,INDL,C,D,STD,ALOT,04638F108,ASTRONOVA INC,USD,14,0000008146,A,334118,3577,4520,452020,45,45202030,334118,3577,230,940,0
001823,2020/12/31,2020,INDL,C,D,STD,ATRO,046433108,ASTRONICS CORP,USD,14,0000008063,A,336320,3640,2010,201010,20,20101010,336320,3640,220,925,0
001828,2020/12/31,2020,INDL,C,D,STD,ACLLF,046789400,ATCO LTD  -CL I,CAD,19,0001261317,A,,,5510,551030,55,55103010,221210,4932,710,700,0
001837,2020/12/31,2020,INDL,C,D,STD,SO7,84399X001,SOUTHERN CO GAS,USD,0,0001004155,A,221210,4924,5510,551020,55,55102010,221210,4924,710,700,1
001864,2020/01/31,2019,INDL,C,D,STD,REX,761624105,REX AMERICAN RESOURCES CORP,USD,11,0000744187,A,325193,2860,1010,101020,10,10102030,325193,2860,426,976,0
001878,2020/01/31,2019,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,14,0000769397,A,519130,7370,4510,451030,45,45103010,519130,7370,185,940,0
001891,2020/06/30,2020,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,14,0000008670,A,518210,7374,4510,451020,45,45102020,518210,7374,453,940,0
001913,2020/12/31,2020,INDL,C,D,STD,AVY,053611109,AVERY DENNISON CORP,USD,11,0000008818,A,322220,2670,1510,151030,15,15103020,322220,2670,357,925,0
001919,2020/06/30,2020,INDL,C,D,STD,AVT,053807103,AVNET INC,USD,14,0000008858,A,423690,5065,4520,452030,45,45203030,423690,5065,222,940,0
001926,2020/02/29,2019,INDL,C,D,STD,AZZ,002474104,AZZ INC,USD,11,0000008947,A,335122,3640,2010,201040,20,20104020,335122,3640,220,925,0
001932,2020/12/31,2020,INDL,C,D,STD,BTI,110448107,BRITISH AMER TOBACCO PLC,USD,11,0001303523,A,312230,2111,3020,302030,30,30203010,312230,2111,470,978,0
001949,2020/12/31,2020,FS,C,D,STD,BRT,055645303,BRT APARTMENTS CORP,USD,11,0000014846,A,531110,6798,6010,601010,60,60101060,531110,6798,850,800,0
001949,2020/12/31,2020,INDL,C,D,STD,BRT,055645303,BRT APARTMENTS CORP,USD,11,0000014846,A,531110,6798,6010,601010,60,60101060,531110,6798,850,800,0
001968,2020/12/31,2020,INDL,C,D,STD,BMI,056525108,BADGER METER INC,USD,11,0000009092,A,334514,3824,4520,452030,45,45203010,334514,3824,230,940,0
001979,2020/12/31,2020,INDL,C,D,STD,BCPC,057665200,BALCHEM CORP  -CL B,USD,14,0000009326,A,325412,2834,1510,151010,15,15101050,325412,2834,285,905,0
001982,2020/12/31,2020,INDL,C,D,STD,PTVCB,74368L203,PROTECTIVE INSURANCE CORP,USD,14,0000009346,I,524126,6331,4030,403010,40,40301040,524126,6331,835,800,0
001982,2020/12/31,2020,FS,C,D,STD,PTVCB,74368L203,PROTECTIVE INSURANCE CORP,USD,14,0000009346,I,524126,6331,4030,403010,40,40301040,524126,6331,835,800,0
001988,2020/12/31,2020,INDL,C,D,STD,BLL,058498106,BALL CORP,USD,11,0000009389,A,332431,3411,1510,151030,15,15103010,332431,3411,205,925,0
002002,2020/12/31,2020,INDL,C,D,STD,BPOP,733174700,POPULAR INC,USD,14,0000763901,A,522110,6020,4010,401010,40,40101015,522110,6020,817,800,0
002002,2020/12/31,2020,FS,C,D,STD,BPOP,733174700,POPULAR INC,USD,14,0000763901,A,522110,6020,4010,401010,40,40101015,522110,6020,817,800,0
002005,2020/12/31,2020,FS,C,D,STD,BOH,062540109,BANK OF HAWAII CORP,USD,11,0000046195,A,522110,6020,4010,401010,40,40101015,522110,6020,817,800,0
002005,2020/12/31,2020,INDL,C,D,STD,BOH,062540109,BANK OF HAWAII CORP,USD,11,0000046195,A,522110,6020,4010,401010,40,40101015,522110,6020,817,800,0
002019,2020/12/31,2020,INDL,C,D,STD,BK,064058100,BANK OF NEW YORK MELLON CORP,USD,11,0001390777,A,522110,6020,4020,402030,40,40203010,522110,6020,815,800,0
002019,2020/12/31,2020,FS,C,D,STD,BK,064058100,BANK OF NEW YORK MELLON CORP,USD,11,0001390777,A,522110,6020,4020,402030,40,40203010,522110,6020,815,800,0
002049,2020/12/31,2020,INDL,C,D,STD,B,067806109,BARNES GROUP INC,USD,11,0000009984,A,332613,3490,2010,201060,20,20106020,332613,3490,355,925,0
002052,2020/09/30,2020,INDL,C,D,STD,BRN,068221100,BARNWELL INDUSTRIES,USD,12,0000010048,A,2111,1311,1010,101020,10,10102020,2111,1311,380,935,0
002055,2020/12/31,2020,INDL,C,D,STD,GOLD,067901108,BARRICK GOLD CORP,USD,11,0000756894,A,212221,1040,1510,151040,15,15104030,212221,1040,265,970,0
002080,2020/11/30,2020,INDL,C,D,STD,BSET,070203104,BASSETT FURNITURE INDS,USD,14,0000010329,A,337122,2511,2520,252010,25,25201020,337122,2511,315,976,0
002086,2020/12/31,2020,INDL,C,D,STD,BAX,071813109,BAXTER INTERNATIONAL INC,USD,11,0000010456,A,325412,2834,3510,351010,35,35101010,325412,2834,300,905,0
002101,2020/06/30,2020,INDL,C,D,STD,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,USD,11,0000109563,A,423830,5080,2010,201070,20,20107010,423830,5080,130,976,0
002111,2020/09/30,2020,INDL,C,D,STD,BDX,075887109,BECTON DICKINSON & CO,USD,11,0000010795,A,339112,3841,3510,351010,35,35101010,339112,3841,300,905,0
002124,2020/12/31,2020,INDL,C,D,STD,BELFB,077347300,BEL FUSE INC,USD,14,0000729580,A,334416,3677,4520,452030,45,45203015,334416,3677,180,940,0
002136,2020/12/31,2020,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,11,0000732712,A,517312,4812,5010,501010,50,50101020,517312,4812,715,974,0
002137,2020/12/31,2020,INDL,C,D,STD,BCE,05534B760,BCE INC,CAD,11,0000718940,A,,,5010,501010,50,50101020,517311,4813,463,974,0
002176,2020/12/31,2020,FS,C,D,STD,BRK.B,084670702,BERKSHIRE HATHAWAY,USD,11,0001067983,A,999977,9997,4020,402010,40,40201030,999977,9997,830,800,0
002176,2020/12/31,2020,INDL,C,D,STD,BRK.B,084670702,BERKSHIRE HATHAWAY,USD,11,0001067983,A,999977,9997,4020,402010,40,40201030,999977,9997,830,800,0
002184,2020/01/31,2019,INDL,C,D,STD,BBY,086516101,BEST BUY CO INC,USD,11,0000764478,A,443142,5731,2550,255040,25,25504020,443142,5731,426,976,0
002220,2020/12/31,2020,INDL,C,D,STD,BIO,090572207,BIO-RAD LABORATORIES INC,USD,11,0000012208,A,334516,3826,3520,352030,35,35203010,334516,3826,230,940,0
002240,2020/07/31,2020,INDL,C,D,STD,NIMU,655366508,NON INVASIVE MONITOR,USD,19,0000720762,A,334510,3845,3510,351010,35,35101010,334510,3845,292,905,3
002259,2020/12/31,2020,INDL,C,D,STD,BKH,092113109,BLACK HILLS CORP,USD,11,0001130464,A,2211,4911,5510,551030,55,55103010,2211,4911,705,700,0
002269,2020/04/30,2019,INDL,C,D,STD,HRB,093671105,BLOCK H & R INC,USD,11,0000012659,A,541213,7200,2530,253020,25,25302020,541213,7200,175,976,0
002270,2020/12/31,2020,INDL,C,D,STD,VAL,G9460G101,VALARIS LTD,USD,11,0000314808,A,213111,1381,1010,101010,10,10101010,213111,1381,395,935,0
002277,2020/10/31,2020,INDL,C,D,STD,BRRE,096005301,BLUE RIDGE REAL ESTATE CO,USD,19,0000012779,A,531,6500,6010,601020,60,60102020,531,6500,262,976,3
002285,2020/12/31,2020,INDL,C,D,STD,BA,097023105,BOEING CO,USD,11,0000012927,A,336411,3721,2010,201010,20,20101010,336411,3721,110,925,0
002312,2020/12/31,2020,INDL,C,D,STD,RHI,770323103,ROBERT HALF INTL INC,USD,11,0000315213,A,561320,7363,2020,202020,20,20202010,561320,7363,457,978,0
002316,2020/12/31,2020,INDL,C,D,STD,0141A,60899Z001,HEXION INC,USD,0,0000013239,A,325211,2821,1510,151010,15,15101020,325211,2821,167,970,2
002337,2020/12/31,2020,INDL,C,D,STD,RFP,76117W109,RESOLUTE FOREST PRODUCTS INC,USD,11,0001393066,A,322121,2621,1510,151050,15,15105020,322121,2621,400,970,0
002342,2020/06/30,2020,INDL,C,D,STD,BWL.A,102565108,BOWL AMERICA INC  -CL A,USD,12,0000013573,I,713950,7900,2530,253010,25,25301030,713950,7900,245,978,0
002352,2020/07/31,2020,INDL,C,D,STD,BRC,104674106,BRADY CORP,USD,11,0000746598,A,339950,3990,2020,202010,20,20201010,339950,3990,357,925,0
002369,2020/12/31,2020,INDL,C,D,STD,BAM,112585104,BROOKFIELD ASSET MANAGEMENT,USD,11,0001001085,A,523,6200,4020,402030,40,40203010,523,6200,822,800,0
002369,2020/12/31,2020,FS,C,D,STD,BAM,112585104,BROOKFIELD ASSET MANAGEMENT,USD,11,0001001085,A,523,6200,4020,402030,40,40203010,523,6200,822,800,0
002390,2020/10/31,2020,INDL,C,D,STD,BRID,108763103,BRIDGFORD FOODS CORP,USD,14,0000014177,A,311612,2013,3020,302020,30,30202030,311612,2013,250,978,0
002403,2020/12/31,2020,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,11,0000014272,A,325412,2834,3520,352020,35,35202010,325412,2834,280,905,0
002408,2020/12/31,2020,INDL,C,D,STD,TU,87971M103,TELUS CORP,CAD,11,0000868675,A,,,5010,501010,50,50101020,517312,4812,463,974,0
002410,2020/12/31,2020,INDL,C,D,STD,BP,055622104,BP PLC,USD,11,0000313807,A,324110,2911,1010,101020,10,10102010,324110,2911,390,935,0
002435,2020/04/30,2019,INDL,C,D,STD,BF.B,115637209,BROWN FORMAN CORP,USD,11,0000014693,A,312140,2085,3020,302010,30,30201020,312140,2085,140,978,0
002436,2020/01/31,2019,INDL,C,D,STD,CAL,129500104,CALERES INC,USD,11,0000014707,A,316210,3140,2550,255040,25,25504010,316210,3140,455,976,0
002444,2020/12/31,2020,INDL,C,D,STD,BC,117043109,BRUNSWICK CORP,USD,11,0000014930,A,333618,3510,2520,252020,25,25202010,333618,3510,475,976,0
002448,2020/12/31,2020,INDL,C,D,STD,MTRN,576690101,MATERION CORP,USD,11,0001104657,A,331410,3330,1510,151040,15,15104020,331410,3330,358,925,0
002490,2020/12/31,2020,INDL,C,D,STD,BRK3,08499Z004,BURLINGTON NORTHERN SANTA FE,USD,0,0000934612,A,482111,4011,2030,203040,20,20304010,482111,4011,610,600,1
002497,2020/12/31,2020,INDL,C,D,STD,MTZ,576323109,MASTEC INC,USD,11,0000015615,A,237130,1623,2010,201030,20,20103010,237130,1623,180,940,0
002504,2020/12/31,2020,INDL,C,D,STD,UIS,909214306,UNISYS CORP,USD,11,0000746838,A,541512,7373,4510,451020,45,45102010,541512,7373,185,940,0
002519,2020/04/30,2019,INDL,C,D,STD,BUKS,123720104,BUTLER NATIONAL CORP,USD,19,0000015847,A,561110,8741,2010,201010,20,20101010,561110,8741,110,925,3
002526,2020/03/31,2019,INDL,C,D,STD,CAE,124765108,CAE INC,CAD,11,0001173382,A,,,2010,201010,20,20101010,333318,3690,220,925,0
002536,2020/03/31,2019,INDL,C,D,STD,RAMP,53815P108,LIVERAMP HOLDINGS INC,USD,11,0000733269,A,519130,7370,4510,451020,45,45102010,519130,7370,456,976,0
002547,2020/12/31,2020,INDL,C,D,STD,CI,125523100,CIGNA CORP,USD,11,0001739940,A,524114,6324,3510,351020,35,35102015,524114,6324,287,905,0
002547,2020/12/31,2020,FS,C,D,STD,CI,125523100,CIGNA CORP,USD,11,0001739940,A,524114,6324,3510,351020,35,35102015,524114,6324,287,905,0
002558,2020/12/31,2020,FS,C,D,STD,CNA,126117100,CNA FINANCIAL CORP,USD,11,0000021175,A,524126,6331,4030,403010,40,40301040,524126,6331,835,800,0
002558,2020/12/31,2020,INDL,C,D,STD,CNA,126117100,CNA FINANCIAL CORP,USD,11,0000021175,A,524126,6331,4030,403010,40,40301040,524126,6331,835,800,0
002573,2020/09/30,2020,INDL,C,D,STD,CSPI,126389105,CSP INC,USD,14,0000356037,A,541512,7373,4510,451020,45,45102010,541512,7373,454,940,0
002574,2020/12/31,2020,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,14,0000277948,A,482111,4011,2030,203040,20,20304010,482111,4011,610,600,0
002577,2020/12/31,2020,INDL,C,D,STD,CTS,126501105,CTS CORP,USD,11,0000026058,A,33441,3670,4520,452030,45,45203020,33441,3670,357,925,0
002578,2020/12/31,2020,INDL,C,D,STD,TLS,87969B101,TELOS CORP/MD,USD,14,0000320121,A,541512,7373,4510,451030,45,45103020,541512,7373,454,940,0
